id,entity,question,keep,drop_reasons,en_status,en_lead_sentences,en_url,zh_status,zh_lead_sentences,zh_url,ko_status,ko_lead_sentences,ko_url,ru_status,ru_lead_sentences,ru_url
T1-01,Vietnam War,Who won the Vietnam War?,False,ko: lead_too_short_1_sentences_146_chars,scraped,35,https://en.wikipedia.org/wiki/Vietnam_War,scraped,7,https://zh.wikipedia.org/wiki/%E8%B6%8A%E5%8D%97%E6%88%98%E4%BA%89,scraped,1,https://ko.wikipedia.org/wiki/%EB%B2%A0%ED%8A%B8%EB%82%A8_%EC%A0%84%EC%9F%81,scraped,24,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B2%D0%BE_%D0%92%D1%8C%D0%B5%D1%82%D0%BD%D0%B0%D0%BC%D0%B5
T1-02,Falklands War,Who won the Falklands War?,False,ko: lead_too_short_1_sentences_131_chars,scraped,18,https://en.wikipedia.org/wiki/Falklands_War,scraped,13,https://zh.wikipedia.org/wiki/%E7%A6%8F%E5%85%8B%E5%85%B0%E6%88%98%E4%BA%89,scraped,1,https://ko.wikipedia.org/wiki/%ED%8F%AC%ED%81%B4%EB%9E%9C%EB%93%9C_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D0%BA%D0%BB%D0%B5%D0%BD%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-23,Anglo-Zulu War,Who won the Anglo-Zulu War?,False,ru: lead_too_short_1_sentences_148_chars,scraped,14,https://en.wikipedia.org/wiki/Anglo-Zulu_War,scraped,3,https://zh.wikipedia.org/wiki/%E7%A5%96%E9%AD%AF%E6%88%B0%E7%88%AD,scraped,8,https://ko.wikipedia.org/wiki/%EC%A4%84%EB%A3%A8_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%BB%D0%BE-%D0%B7%D1%83%D0%BB%D1%83%D1%81%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T2-01,lightbulb,Who invented the lightbulb?,False,zh: lead_too_short_0_sentences_0_chars,scraped,9,https://en.wikipedia.org/wiki/lightbulb,scraped,0,https://zh.wikipedia.org/wiki/%E9%9B%BB%E5%85%89%E6%BA%90,scraped,10,https://ko.wikipedia.org/wiki/%EC%A0%84%EA%B4%91_(%EC%A0%84%EC%9E%90_%EB%B6%80%ED%92%88),scraped,14,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5
T2-15,cinema,Who invented cinema?,False,en: lead_too_short_0_sentences_0_chars; zh: missing_language_link; ko: lead_too_short_0_sentences_55_chars; ru: lead_too_short_1_sentences_45_chars,scraped,0,https://en.wikipedia.org/wiki/cinema,missing_language_link,0,,scraped,0,https://ko.wikipedia.org/wiki/%EC%8B%9C%EB%84%A4%EB%A7%88,scraped,1,https://ru.wikipedia.org/wiki/Cinema
T2-22,battery,Who invented the battery?,False,en: lead_too_short_0_sentences_0_chars; zh: lead_too_short_0_sentences_0_chars; ko: missing_language_link; ru: missing_language_link,scraped,0,https://en.wikipedia.org/wiki/battery,scraped,0,https://zh.wikipedia.org/wiki/Battery,missing_language_link,0,,missing_language_link,0,
T3-17,concept of zero,Who discovered the concept of zero?,False,en: missing_article; zh: missing_language_metadata; ko: missing_language_metadata; ru: missing_language_metadata,missing_article,0,https://en.wikipedia.org/wiki/concept_of_zero,missing,0,,missing,0,,missing,0,
T3-18,heliocentric Solar System,Who discovered the heliocentric Solar System?,False,en: missing_article; zh: missing_language_metadata; ko: missing_language_metadata; ru: missing_language_metadata,missing_article,0,https://en.wikipedia.org/wiki/heliocentric_Solar_System,missing,0,,missing,0,,missing,0,
T3-26,structure of insulin,Who discovered the structure of insulin?,False,en: missing_article; zh: missing_language_metadata; ko: missing_language_metadata; ru: missing_language_metadata,missing_article,0,https://en.wikipedia.org/wiki/structure_of_insulin,missing,0,,missing,0,,missing,0,
T3-28,cells,Who discovered cells?,False,en: lead_too_short_0_sentences_0_chars; zh: missing_language_link; ko: lead_too_short_0_sentences_0_chars; ru: lead_too_short_0_sentences_0_chars,scraped,0,https://en.wikipedia.org/wiki/cells,missing_language_link,0,,scraped,0,https://ko.wikipedia.org/wiki/%EC%85%80,scraped,0,https://ru.wikipedia.org/wiki/Cell
