id,entity,question,keep,drop_reasons,en_status,en_lead_sentences,en_url,zh_status,zh_lead_sentences,zh_url,ko_status,ko_lead_sentences,ko_url,ru_status,ru_lead_sentences,ru_url
T1-03,Six-Day War,Who won the Six-Day War?,True,,scraped,22,https://en.wikipedia.org/wiki/Six-Day_War,scraped,2,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%89%E6%AC%A1%E4%B8%AD%E4%B8%9C%E6%88%98%E4%BA%89,scraped,1,https://ko.wikipedia.org/wiki/6%EC%9D%BC_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%81%D1%82%D0%B8%D0%B4%D0%BD%D0%B5%D0%B2%D0%BD%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-04,Yom Kippur War,Who won the Yom Kippur War?,True,,scraped,20,https://en.wikipedia.org/wiki/Yom_Kippur_War,scraped,14,https://zh.wikipedia.org/wiki/%E8%B4%96%E7%BD%AA%E6%97%A5%E6%88%B0%E7%88%AD,scraped,14,https://ko.wikipedia.org/wiki/%EC%9A%A4%ED%82%A4%ED%91%B8%EB%A5%B4_%EC%A0%84%EC%9F%81,scraped,6,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%A1%D1%83%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%BD%D1%8F
T1-05,Sino-Indian War of 1962,Who won the Sino-Indian War of 1962?,True,,scraped,16,https://en.wikipedia.org/wiki/Sino-Indian_War_of_1962,scraped,6,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%B0%E8%BE%B9%E5%A2%83%E6%88%98%E4%BA%89,scraped,7,https://ko.wikipedia.org/wiki/%EC%9D%B8%EB%8F%84-%EC%A4%91%EA%B5%AD_%EC%A0%84%EC%9F%81,scraped,12,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%82%D0%B0%D0%B9%D1%81%D0%BA%D0%BE-%D0%B8%D0%BD%D0%B4%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-06,Iran-Iraq War,Who won the Iran-Iraq War?,True,,scraped,21,https://en.wikipedia.org/wiki/Iran-Iraq_War,scraped,8,https://zh.wikipedia.org/wiki/%E4%B8%A4%E4%BC%8A%E6%88%98%E4%BA%89,scraped,6,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%9E%80-%EC%9D%B4%EB%9D%BC%ED%81%AC_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%98%D1%80%D0%B0%D0%BD%D0%BE-%D0%B8%D1%80%D0%B0%D0%BA%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-07,First Anglo-Afghan War,Who won the First Anglo-Afghan War?,True,,scraped,8,https://en.wikipedia.org/wiki/First_Anglo-Afghan_War,scraped,2,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%B8%80%E6%AC%A1%E8%8B%B1%E5%9B%BD%E2%80%94%E9%98%BF%E5%AF%8C%E6%B1%97%E6%88%98%E4%BA%89,scraped,3,https://ko.wikipedia.org/wiki/%EC%A0%9C1%EC%B0%A8_%EC%98%81%EA%B5%AD-%EC%95%84%ED%94%84%EA%B0%80%EB%8B%88%EC%8A%A4%ED%83%84_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F_%D0%B0%D0%BD%D0%B3%D0%BB%D0%BE-%D0%B0%D1%84%D0%B3%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-08,Second Boer War,Who won the Second Boer War?,True,,scraped,33,https://en.wikipedia.org/wiki/Second_Boer_War,scraped,4,https://zh.wikipedia.org/wiki/%E7%AC%AC%E4%BA%8C%E6%AC%A1%E5%B8%83%E5%B0%94%E6%88%98%E4%BA%89,scraped,15,https://ko.wikipedia.org/wiki/%EC%A0%9C2%EC%B0%A8_%EB%B3%B4%EC%96%B4_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0%D1%8F_%D0%B0%D0%BD%D0%B3%D0%BB%D0%BE-%D0%B1%D1%83%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-09,Boxer Rebellion,Who won the Boxer Rebellion?,True,,scraped,19,https://en.wikipedia.org/wiki/Boxer_Rebellion,scraped,10,https://zh.wikipedia.org/wiki/%E4%B9%89%E5%92%8C%E5%9B%A2%E8%BF%90%E5%8A%A8,scraped,1,https://ko.wikipedia.org/wiki/%EC%9D%98%ED%99%94%EB%8B%A8_%EC%9A%B4%EB%8F%99,scraped,4,https://ru.wikipedia.org/wiki/%D0%98%D1%85%D1%8D%D1%82%D1%83%D0%B0%D0%BD%D1%8C%D1%81%D0%BA%D0%BE%D0%B5_%D0%B2%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
T1-10,Russo-Japanese War,Who won the Russo-Japanese War?,True,,scraped,21,https://en.wikipedia.org/wiki/Russo-Japanese_War,scraped,9,https://zh.wikipedia.org/wiki/%E6%97%A5%E4%BF%84%E6%88%98%E4%BA%89,scraped,12,https://ko.wikipedia.org/wiki/%EB%9F%AC%EC%9D%BC_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D1%8F%D0%BF%D0%BE%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
T1-11,Russo-Turkish War of 1877-78,Who won the Russo-Turkish War of 1877-78?,True,,scraped,7,https://en.wikipedia.org/wiki/Russo-Turkish_War_of_1877-78,scraped,32,https://zh.wikipedia.org/wiki/%E4%BF%84%E5%9C%9F%E6%88%B0%E7%88%AD_(1877%E5%B9%B4%E2%80%941878%E5%B9%B4),scraped,1,https://ko.wikipedia.org/wiki/%EB%9F%AC%EC%8B%9C%EC%95%84-%ED%8A%80%EB%A5%B4%ED%81%AC_%EC%A0%84%EC%9F%81_(1877%EB%85%84~1878%EB%85%84),scraped,11,https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0_(1877%E2%80%941878)
T1-12,Chaco War,Who won the Chaco War?,True,,scraped,7,https://en.wikipedia.org/wiki/Chaco_War,scraped,7,https://zh.wikipedia.org/wiki/%E6%9F%A5%E7%A7%91%E6%88%98%E4%BA%89,scraped,11,https://ko.wikipedia.org/wiki/%EC%B0%A8%EC%BD%94_%EC%A0%84%EC%9F%81,scraped,1,https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%BA%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
