question,language,translated_query,rank,title,url,snippet,auto_labels,llm_summary,omission_notes,confidence
Who invented the printing press?,English,Who invented the printing press?,1,Printing press - Wikipedia,https://en.wikipedia.org/wiki/Printing_press,"In Germany, around 1440, the goldsmith <strong>Johannes Gutenberg</strong> invented the movable-type printing press, which started the Printing Revolution. Modeled on the design of existing screw presses, a single Renaissance printing press could produce up to 3,600 pages per workday, compared to forty by ...",Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,English,Who invented the printing press?,2,"Johannes Gutenberg | Printing Press, Inventions, Facts, Accomplishments, & Biography | Britannica",https://www.britannica.com/biography/Johannes-Gutenberg,The type of mechanized printing press that <strong>Johannes Gutenberg</strong> created in the 15th century made it possible for the first time in Europe to manufacture large numbers of books for relatively little cost.,Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,English,Who invented the printing press?,3,Johannes Gutenberg - Wikipedia,https://en.wikipedia.org/wiki/Johannes_Gutenberg,"<strong>Johannes Gensfleisch zur Laden zum Gutenberg</strong> (c. 1393–1406 – 3 February 1468) was a German inventor and craftsman who invented the movable-type printing press. Though movable type was already in use in East Asia, Gutenberg&#x27;s invention of the printing press enabled a much faster rate of printing.",Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Chinese,谁发明了活字印刷术？,1,世界上最早的活字印刷技术胶泥活字印刷术 - 湖北省人民政府门户网站,http://www.hubei.gov.cn/hbfb/hbzz/201507/t20150728_1594128.shtml,毕昇（约970年—1051年），中国古代发明家，活字版印刷术发明者。汉族。北宋蕲州（今湖北黄冈市英山县人）。初为印刷铺工人，专事手工印刷。毕昇发明了胶泥活字印刷术，被认为是世界上最早的活字印刷技术。比德国人约翰内斯·古腾堡活字印刷术早约400年。,Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Chinese,谁发明了活字印刷术？,2,活字印刷术,https://baike.baidu.com/item/%E6%B4%BB%E5%AD%97%E5%8D%B0%E5%88%B7%E6%9C%AF/7258232,活字印刷术的产生背景是造纸术的发明和墨的使用。在隋唐时期（581—907年）雕版印刷术出现。雕版印刷术克服了手抄速度慢的问题，刻出一版就可以印无数份，但也存在缺点。 [5]到了宋朝，印刷业发展到全盛时期。为了克服雕版印刷的缺陷，宋代毕昇发明了活字印刷术。 [42]该技术在中国历代持续发展：南宋周必大首次以泥活字印制《玉堂杂记》，元代王祯创制木活字并发明转轮排字架，清代出现铜活字印制的《古今图书集成》及瓷活字印刷品 [8] [,Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Chinese,谁发明了活字印刷术？,3,活字印刷术 - 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-hans/%E6%B4%BB%E5%AD%97%E5%8D%B0%E5%88%B7%E6%9C%AF,活字印刷术是一种印刷方法，使用可以移动的木刻字、金属或胶泥字块，用来取代传统的抄写，或是无法重复使用的雕版印刷。 · 雕版印度刷术起源于古代中国。早在隋唐，雕版印度刷大行于市。传至宋代，毕昇发明了活字印刷术。历代出现各种活字，包括胶泥活字、木活字、陶活字、瓷活字、铜活字等，不过活字印刷术在古代中国并未普及。汉字数量众多，活字印刷不及西方文字便利，对技术和要求也较高；而雕版印刷容易体现汉字的书法美感，并且便于保存。,Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Korean,누가 인쇄술을 발명했는가?,1,02. 정보 혁명을 이끈 인쇄술의 발명,https://brunch.co.kr/@wangho/4,"15세기 유럽, <strong>요하네스 구텐베르크</strong>는 인쇄술을 발명합니다. 흔히 유럽 최초의 금속활자 발명자로 알려져 있지만 그가 발명한 건 활자를 포함한 인쇄술 전반에 대한 것이었습니다.",Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Korean,누가 인쇄술을 발명했는가?,2,요하네스 구텐베르크 - 나무위키,https://namu.wiki/w/%EC%9A%94%ED%95%98%EB%84%A4%EC%8A%A4%20%EA%B5%AC%ED%85%90%EB%B2%A0%EB%A5%B4%ED%81%AC,1462년에는 나사우의 대주교 아돌프 2세가 마인츠를 점령했는데 이때 마인츠에서 쫓겨나 어린 시절에 잠시 살았던 마인츠 근처 도시인 엔트빌레로 이주했다. 하지만 구텐베르크의 신기술에 관심이 많았던 대주교 아돌프 2세는 마인츠에서 계속 인쇄업을 할 수 있도록 허락했고 1465년에 구텐베르크에게 인쇄술을 발전시킨 공로로 연금을 하사했다.,Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,Korean,누가 인쇄술을 발명했는가?,3,서양의 인쇄 역사,http://iprint.kr/sub_1_4.htm,"인쇄역사 &gt; 서양의 인쇄역사 · 독일은 서양의 인쇄문화 발상지인데, 이는 <strong>구텐베르크(Johann Gutenberg)</strong>가 그의 출생지인 마인쯔에서 1444년에서 1448년 사이에 납활자를 만들어서 활판인쇄를 시작한데서 비롯됐다",Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
Who invented the printing press?,German,Wer erfand den Buchdruck?,1,Buchdruck – Wikipedia,https://de.wikipedia.org/wiki/Buchdruck,"Der moderne Buchdruck mit den auswechselbaren Lettern einer Satzschrift in einer Druckpresse (Typendruck), der die flexible, relativ kostengünstige und schnelle Erstellung größerer Auflagen ermöglichte, wurde in Europa um 1440 von <strong>Johannes Gutenberg</strong> erfunden.",Type B — Attribution; Type F — Omission,"English and Korean sources consistently attribute the invention of the printing press to Johannes Gutenberg in the 15th century. Chinese sources credit Bi Sheng with inventing the earliest form of movable-type printing during the Song Dynasty (approx. 11th century), noting it predates Gutenberg by about 400 years. One German source claims the printing press was invented by a Chinese person, which aligns with the Chinese attribution but lacks specificity.","English sources do not mention Bi Sheng or the earlier Chinese invention of movable-type printing. Chinese sources explicitly discuss Bi Sheng's role and the historical context of his invention, while German sources only reference the Chinese attribution without elaborating on the specific inventor.",medium
